Id,Time,Value
2347167796,3/29/2016 7:35:45 PM,67
2347167796,3/29/2016 7:35:50 PM,68
2347167796,3/29/2016 7:35:55 PM,69
2347167796,3/29/2016 7:36:10 PM,69
2347167796,3/29/2016 7:36:25 PM,69
2347167796,3/29/2016 7:36:30 PM,69
2347167796,3/29/2016 7:36:35 PM,70
2347167796,3/29/2016 7:36:40 PM,71
2347167796,3/29/2016 7:36:45 PM,71
2347167796,3/29/2016 7:37:00 PM,71
2347167796,3/29/2016 7:37:15 PM,73
2347167796,3/29/2016 7:37:20 PM,74
2347167796,3/29/2016 7:37:35 PM,74
2347167796,3/29/2016 7:37:50 PM,74
2347167796,3/29/2016 7:38:00 PM,73
2347167796,3/29/2016 7:38:05 PM,76
2347167796,3/29/2016 7:38:10 PM,80
2347167796,3/29/2016 7:38:15 PM,81
2347167796,3/29/2016 7:38:30 PM,81
2347167796,3/29/2016 7:38:45 PM,81
2347167796,3/29/2016 7:39:00 PM,82
2347167796,3/29/2016 7:39:05 PM,81
2347167796,3/29/2016 7:39:20 PM,77
2347167796,3/29/2016 7:39:25 PM,77
2347167796,3/29/2016 7:39:30 PM,76
2347167796,3/29/2016 7:39:45 PM,76
2347167796,3/29/2016 7:39:55 PM,75
2347167796,3/29/2016 7:40:00 PM,74
2347167796,3/29/2016 7:40:10 PM,68
2347167796,3/29/2016 7:40:20 PM,69
2347167796,3/29/2016 7:40:25 PM,68
2347167796,3/29/2016 7:40:30 PM,69
2347167796,3/29/2016 7:40:40 PM,68
2347167796,3/29/2016 7:40:55 PM,68
2347167796,3/29/2016 7:41:10 PM,68
2347167796,3/29/2016 7:41:25 PM,69
2347167796,3/29/2016 7:41:35 PM,68
2347167796,3/29/2016 7:41:50 PM,67
2347167796,3/29/2016 7:42:00 PM,68
2347167796,3/29/2016 7:42:10 PM,69
2347167796,3/29/2016 7:42:15 PM,71
2347167796,3/29/2016 7:42:30 PM,71
2347167796,3/29/2016 7:42:40 PM,72
2347167796,3/29/2016 7:42:45 PM,73
2347167796,3/29/2016 7:43:00 PM,73
2347167796,3/29/2016 7:43:15 PM,73
2347167796,3/29/2016 7:43:30 PM,73
2347167796,3/29/2016 7:43:40 PM,72
2347167796,3/29/2016 7:43:45 PM,68
2347167796,3/29/2016 7:43:50 PM,68
2347167796,3/29/2016 7:43:55 PM,68
2347167796,3/29/2016 7:44:10 PM,68
2347167796,3/29/2016 7:44:15 PM,69
2347167796,3/29/2016 7:44:30 PM,69
2347167796,3/29/2016 7:44:45 PM,69
2347167796,3/29/2016 7:44:55 PM,69
2347167796,3/29/2016 7:45:10 PM,69
2347167796,3/29/2016 7:45:15 PM,68
2347167796,3/29/2016 7:45:20 PM,67
2347167796,3/29/2016 7:45:30 PM,68
2347167796,3/29/2016 7:45:35 PM,69
2347167796,3/29/2016 7:45:40 PM,70
2347167796,3/29/2016 7:45:50 PM,69
2347167796,3/29/2016 7:46:00 PM,69
2347167796,3/29/2016 7:46:15 PM,69
2347167796,3/29/2016 7:46:20 PM,70
2347167796,3/29/2016 7:46:35 PM,70
2347167796,3/29/2016 7:46:50 PM,69
2347167796,3/29/2016 7:47:05 PM,69
2347167796,3/29/2016 7:47:20 PM,70
2347167796,3/29/2016 7:47:25 PM,69
2347167796,3/29/2016 7:47:30 PM,68
2347167796,3/29/2016 7:47:40 PM,64
2347167796,3/29/2016 7:47:55 PM,64
2347167796,3/29/2016 7:48:00 PM,65
2347167796,3/29/2016 7:48:10 PM,64
2347167796,3/29/2016 7:48:20 PM,63
2347167796,3/29/2016 7:48:25 PM,63
2347167796,3/29/2016 7:48:40 PM,69
2347167796,3/29/2016 7:48:45 PM,68
2347167796,3/29/2016 7:48:55 PM,69
2347167796,3/29/2016 7:49:00 PM,70
2347167796,3/29/2016 7:49:10 PM,64
2347167796,3/29/2016 7:49:20 PM,65
2347167796,3/29/2016 7:49:30 PM,67
2347167796,3/29/2016 7:49:40 PM,69
2347167796,3/29/2016 7:49:50 PM,69
2347167796,3/29/2016 7:50:05 PM,69
2347167796,3/29/2016 7:50:10 PM,70
2347167796,3/29/2016 7:50:20 PM,69
2347167796,3/29/2016 7:50:25 PM,69
2347167796,3/29/2016 7:50:40 PM,69
2347167796,3/29/2016 7:50:50 PM,69
2347167796,3/29/2016 7:51:00 PM,69
2347167796,3/29/2016 7:51:15 PM,69
2347167796,3/29/2016 7:51:30 PM,69
2347167796,3/29/2016 7:51:45 PM,69
2347167796,3/29/2016 7:52:00 PM,68
2347167796,3/29/2016 7:52:15 PM,68
2347167796,3/29/2016 7:52:20 PM,69
2347167796,3/29/2016 7:52:30 PM,69
2347167796,3/29/2016 7:52:45 PM,69
2347167796,3/29/2016 7:53:00 PM,69
2347167796,3/29/2016 7:53:15 PM,69
2347167796,3/29/2016 7:53:20 PM,69
2347167796,3/29/2016 7:53:30 PM,69
2347167796,3/29/2016 7:53:45 PM,69
2347167796,3/29/2016 7:54:00 PM,69
2347167796,3/29/2016 7:54:10 PM,69
2347167796,3/29/2016 7:54:15 PM,72
2347167796,3/29/2016 7:54:30 PM,72
2347167796,3/29/2016 7:54:45 PM,71
2347167796,3/29/2016 7:55:00 PM,71
2347167796,3/29/2016 7:55:05 PM,72
2347167796,3/29/2016 7:55:20 PM,74
2347167796,3/29/2016 7:55:35 PM,74
2347167796,3/29/2016 7:55:45 PM,74
2347167796,3/29/2016 7:56:00 PM,74
2347167796,3/29/2016 7:56:10 PM,72
2347167796,3/29/2016 7:56:20 PM,74
2347167796,3/29/2016 7:56:25 PM,75
2347167796,3/29/2016 7:56:40 PM,75
2347167796,3/29/2016 7:56:55 PM,75
2347167796,3/29/2016 7:57:10 PM,75
2347167796,3/29/2016 7:57:25 PM,75
2347167796,3/29/2016 7:57:40 PM,75
2347167796,3/29/2016 7:57:45 PM,79
2347167796,3/29/2016 7:57:55 PM,80
2347167796,3/29/2016 7:58:05 PM,79
2347167796,3/29/2016 7:58:10 PM,80
2347167796,3/29/2016 7:58:15 PM,79
2347167796,3/29/2016 7:58:20 PM,81
2347167796,3/29/2016 7:58:25 PM,83
2347167796,3/29/2016 7:58:40 PM,83
2347167796,3/29/2016 7:58:55 PM,83
2347167796,3/29/2016 7:59:00 PM,84
2347167796,3/29/2016 7:59:10 PM,85
2347167796,3/29/2016 7:59:20 PM,70
2347167796,3/29/2016 7:59:35 PM,70
2347167796,3/29/2016 7:59:50 PM,70
2347167796,3/29/2016 8:00:35 PM,70
2347167796,3/29/2016 8:00:50 PM,70
2347167796,3/29/2016 8:35:05 PM,107
2347167796,3/29/2016 8:35:20 PM,108
2347167796,3/29/2016 8:35:35 PM,108
2347167796,3/29/2016 8:35:50 PM,106
2347167796,3/29/2016 8:35:55 PM,97
2347167796,3/29/2016 8:36:00 PM,89
2347167796,3/29/2016 8:36:10 PM,92
2347167796,3/29/2016 8:36:15 PM,90
2347167796,3/29/2016 8:36:20 PM,86
2347167796,3/29/2016 8:36:25 PM,82
2347167796,3/29/2016 8:36:40 PM,82
2347167796,3/29/2016 8:36:55 PM,82
2347167796,3/29/2016 8:37:00 PM,80
2347167796,3/29/2016 8:37:05 PM,85
2347167796,3/29/2016 8:37:10 PM,87
2347167796,3/29/2016 8:37:25 PM,85
2347167796,3/29/2016 8:37:40 PM,84
2347167796,3/29/2016 8:37:45 PM,83
2347167796,3/29/2016 8:37:50 PM,82
2347167796,3/29/2016 8:37:55 PM,81
2347167796,3/29/2016 8:38:10 PM,80
2347167796,3/29/2016 8:38:15 PM,81
2347167796,3/29/2016 8:38:20 PM,80
2347167796,3/29/2016 8:38:35 PM,80
2347167796,3/29/2016 8:38:50 PM,79
2347167796,3/29/2016 8:38:55 PM,81
2347167796,3/29/2016 8:39:00 PM,83
2347167796,3/29/2016 8:39:05 PM,82
2347167796,3/29/2016 8:39:15 PM,82
2347167796,3/29/2016 8:39:30 PM,82
2347167796,3/29/2016 8:39:35 PM,81
2347167796,3/29/2016 8:39:40 PM,79
2347167796,3/29/2016 8:39:45 PM,78
2347167796,3/29/2016 8:39:55 PM,76
2347167796,3/29/2016 8:40:00 PM,75
2347167796,3/29/2016 8:40:15 PM,74
2347167796,3/29/2016 8:40:30 PM,74
2347167796,3/29/2016 8:40:45 PM,74
2347167796,3/29/2016 8:40:55 PM,73
2347167796,3/29/2016 8:41:10 PM,73
2347167796,3/29/2016 8:41:15 PM,74
2347167796,3/29/2016 8:41:25 PM,76
2347167796,3/29/2016 8:41:30 PM,74
2347167796,3/29/2016 8:41:40 PM,74
2347167796,3/29/2016 8:41:55 PM,73
2347167796,3/29/2016 8:42:00 PM,74
2347167796,3/29/2016 8:42:05 PM,75
2347167796,3/29/2016 8:42:10 PM,76
2347167796,3/29/2016 8:42:15 PM,77
2347167796,3/29/2016 8:42:20 PM,75
2347167796,3/29/2016 8:42:25 PM,75
2347167796,3/29/2016 8:42:30 PM,74
2347167796,3/29/2016 8:42:35 PM,69
2347167796,3/29/2016 8:42:40 PM,69
2347167796,3/29/2016 8:42:50 PM,68
2347167796,3/29/2016 8:43:00 PM,63
2347167796,3/29/2016 8:43:05 PM,62
2347167796,3/29/2016 8:43:20 PM,62
2347167796,3/29/2016 8:43:30 PM,63
2347167796,3/29/2016 8:43:45 PM,64
2347167796,3/29/2016 8:43:50 PM,65
2347167796,3/29/2016 8:44:00 PM,66
2347167796,3/29/2016 8:44:10 PM,67
2347167796,3/29/2016 8:44:20 PM,66
2347167796,3/29/2016 8:44:25 PM,64
2347167796,3/29/2016 8:44:30 PM,62
2347167796,3/29/2016 8:44:35 PM,62
2347167796,3/29/2016 8:44:40 PM,62
2347167796,3/29/2016 8:44:50 PM,64
2347167796,3/29/2016 8:45:00 PM,63
2347167796,3/29/2016 8:45:05 PM,63
2347167796,3/29/2016 8:45:20 PM,65
2347167796,3/29/2016 8:45:30 PM,63
2347167796,3/29/2016 8:45:45 PM,63
2347167796,3/29/2016 8:45:50 PM,64
2347167796,3/29/2016 8:46:05 PM,64
2347167796,3/29/2016 8:46:10 PM,63
2347167796,3/29/2016 8:46:20 PM,64
2347167796,3/29/2016 8:46:35 PM,64
2347167796,3/29/2016 8:46:45 PM,63
